delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.9;0.01;0.1;3935;523;255;58;-1.0;{O_SELECTED=0.20694444444444443, W_Nabellen offertes=0.17083333333333334, W_Completeren aanvraag=0.11666666666666667, A_FINALIZED=0.10833333333333334, A_DECLINED=0.0875, O_SENT=0.0875, A_CANCELLED=0.05, O_DECLINED=0.041666666666666664, O_CANCELLED=0.020833333333333332, W_Afhandelen leads=0.019444444444444445, A_PREACCEPTED=0.019444444444444445, A_APPROVED=0.016666666666666666, W_Valideren aanvraag=0.016666666666666666, A_ACTIVATED=0.008333333333333333, A_REGISTERED=0.008333333333333333, A_ACCEPTED=0.005555555555555556, W_Nabellen incomplete dossiers=0.005555555555555556, O_CREATED=0.005555555555555556, O_ACCEPTED=0.002777777777777778, O_SENT_BACK=0.001388888888888889};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;5983;652;334;92;-1.0;{O_SELECTED=0.1956315289648623, W_Nabellen offertes=0.16904083570750236, W_Completeren aanvraag=0.11965811965811966, A_FINALIZED=0.1063627730294397, O_SENT=0.0892687559354226, A_DECLINED=0.08452041785375118, A_CANCELLED=0.060778727445394115, O_DECLINED=0.03418803418803419, W_Afhandelen leads=0.03323836657169991, O_CANCELLED=0.023741690408357077, A_PREACCEPTED=0.018043684710351376, A_REGISTERED=0.013295346628679962, W_Valideren aanvraag=0.008547008547008548, A_ACCEPTED=0.008547008547008548, O_SENT_BACK=0.007597340930674264, A_APPROVED=0.005698005698005698, O_ACCEPTED=0.004748338081671415, W_Nabellen incomplete dossiers=0.004748338081671415, A_ACTIVATED=0.003798670465337132, O_CREATED=0.003798670465337132, W_Beoordelen fraude=0.002849002849002849, W_Wijzigen contractgegevens=0.001899335232668566};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;8960;576;299;72;-1.0;{O_SELECTED=0.19593908629441625, W_Completeren aanvraag=0.15532994923857868, W_Nabellen offertes=0.1299492385786802, A_FINALIZED=0.10862944162436548, O_SENT=0.09340101522842639, A_DECLINED=0.08730964467005076, O_DECLINED=0.048730964467005075, W_Afhandelen leads=0.04263959390862944, O_CANCELLED=0.03451776649746193, A_CANCELLED=0.03350253807106599, A_PREACCEPTED=0.02030456852791878, W_Beoordelen fraude=0.01116751269035533, W_Valideren aanvraag=0.01015228426395939, A_ACTIVATED=0.005076142131979695, A_REGISTERED=0.005076142131979695, W_Nabellen incomplete dossiers=0.005076142131979695, O_SENT_BACK=0.0040609137055837565, O_ACCEPTED=0.003045685279187817, O_CREATED=0.003045685279187817, A_ACCEPTED=0.0020304568527918783, A_APPROVED=0.0010152284263959391};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;5269;514;256;54;-1.0;{O_SELECTED=0.21944444444444444, W_Nabellen offertes=0.1486111111111111, W_Completeren aanvraag=0.12222222222222222, O_SENT=0.10416666666666667, A_FINALIZED=0.09583333333333334, A_DECLINED=0.08194444444444444, O_CANCELLED=0.044444444444444446, O_DECLINED=0.043055555555555555, A_CANCELLED=0.041666666666666664, W_Afhandelen leads=0.03333333333333333, A_PREACCEPTED=0.019444444444444445, A_REGISTERED=0.008333333333333333, O_ACCEPTED=0.006944444444444444, A_ACTIVATED=0.005555555555555556, O_SENT_BACK=0.005555555555555556, W_Valideren aanvraag=0.005555555555555556, W_Nabellen incomplete dossiers=0.005555555555555556, O_CREATED=0.005555555555555556, A_APPROVED=0.002777777777777778};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;6276;708;320;82;-1.0;{O_SELECTED=0.200990099009901, W_Nabellen offertes=0.15643564356435644, W_Completeren aanvraag=0.14158415841584157, A_FINALIZED=0.10792079207920792, A_DECLINED=0.07821782178217822, O_SENT=0.07524752475247524, W_Afhandelen leads=0.04257425742574258, A_CANCELLED=0.039603960396039604, O_DECLINED=0.03663366336633663, A_PREACCEPTED=0.024752475247524754, O_CANCELLED=0.02277227722772277, A_APPROVED=0.011881188118811881, A_REGISTERED=0.011881188118811881, O_ACCEPTED=0.009900990099009901, W_Nabellen incomplete dossiers=0.009900990099009901, W_Valideren aanvraag=0.007920792079207921, W_Beoordelen fraude=0.007920792079207921, A_ACCEPTED=0.005940594059405941, O_SENT_BACK=0.0039603960396039604, A_ACTIVATED=0.0019801980198019802, O_CREATED=0.0019801980198019802};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;4955;509;267;71;-1.0;{O_SELECTED=0.21230398069963813, W_Nabellen offertes=0.1399276236429433, W_Completeren aanvraag=0.13268998793727382, A_FINALIZED=0.1037394451145959, O_SENT=0.09167671893848009, A_DECLINED=0.08805790108564536, A_CANCELLED=0.05548854041013269, O_DECLINED=0.04825090470446321, O_CANCELLED=0.03618817852834741, W_Afhandelen leads=0.030156815440289506, A_PREACCEPTED=0.018094089264173704, W_Valideren aanvraag=0.012062726176115802, A_APPROVED=0.0048250904704463205, A_ACTIVATED=0.0048250904704463205, A_REGISTERED=0.0048250904704463205, W_Nabellen incomplete dossiers=0.0048250904704463205, A_ACCEPTED=0.0036188178528347406, W_Beoordelen fraude=0.0036188178528347406, O_SENT_BACK=0.0024125452352231603, O_ACCEPTED=0.0024125452352231603};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;7091;673;316;70;-1.0;{O_SELECTED=0.1991991991991992, W_Completeren aanvraag=0.17217217217217218, W_Nabellen offertes=0.15215215215215216, A_FINALIZED=0.1061061061061061, O_SENT=0.09509509509509509, A_DECLINED=0.07507507507507508, O_DECLINED=0.04004004004004004, A_CANCELLED=0.03303303303303303, W_Afhandelen leads=0.03303303303303303, A_PREACCEPTED=0.028028028028028028, O_CANCELLED=0.013013013013013013, A_REGISTERED=0.012012012012012012, W_Nabellen incomplete dossiers=0.01001001001001001, A_APPROVED=0.008008008008008008, O_SENT_BACK=0.007007007007007007, A_ACTIVATED=0.006006006006006006, W_Beoordelen fraude=0.003003003003003003, O_CREATED=0.003003003003003003, W_Valideren aanvraag=0.002002002002002002, A_ACCEPTED=0.002002002002002002};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;5333;490;243;41;-1.0;{O_SELECTED=0.2195845697329377, W_Nabellen offertes=0.1632047477744807, A_DECLINED=0.1083086053412463, A_FINALIZED=0.1083086053412463, O_SENT=0.1083086053412463, W_Completeren aanvraag=0.08902077151335312, O_DECLINED=0.04451038575667656, W_Afhandelen leads=0.032640949554896145, A_CANCELLED=0.03115727002967359, O_CANCELLED=0.026706231454005934, A_PREACCEPTED=0.017804154302670624, A_ACTIVATED=0.011869436201780416, A_REGISTERED=0.008902077151335312, O_SENT_BACK=0.00741839762611276, A_APPROVED=0.005934718100890208, W_Valideren aanvraag=0.005934718100890208, W_Beoordelen fraude=0.004451038575667656, O_CREATED=0.004451038575667656, W_Wijzigen contractgegevens=0.001483679525222552};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;5616;573;276;61;-1.0;{O_SELECTED=0.2057074910820452, W_Completeren aanvraag=0.1724137931034483, W_Nabellen offertes=0.14863258026159334, A_FINALIZED=0.09631391200951249, O_SENT=0.09036860879904875, A_DECLINED=0.07372175980975029, A_CANCELLED=0.03804994054696789, O_DECLINED=0.03804994054696789, A_PREACCEPTED=0.03210463733650416, O_CANCELLED=0.020214030915576695, W_Afhandelen leads=0.019024970273483946, A_ACTIVATED=0.014268727705112961, W_Valideren aanvraag=0.009512485136741973, W_Beoordelen fraude=0.009512485136741973, A_APPROVED=0.007134363852556481, A_REGISTERED=0.007134363852556481, A_ACCEPTED=0.005945303210463734, O_ACCEPTED=0.0047562425683709865, O_SENT_BACK=0.0035671819262782403, O_CREATED=0.0035671819262782403};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;3892;489;245;55;-1.0;{O_SELECTED=0.21751025991792067, W_Nabellen offertes=0.1354309165526676, W_Completeren aanvraag=0.1326949384404925, A_FINALIZED=0.10807113543091655, O_SENT=0.09849521203830369, A_DECLINED=0.07523939808481532, A_CANCELLED=0.05198358413132695, O_DECLINED=0.04514363885088919, O_CANCELLED=0.028727770177838577, A_PREACCEPTED=0.02188782489740082, W_Afhandelen leads=0.017783857729138167, A_ACTIVATED=0.013679890560875513, W_Valideren aanvraag=0.013679890560875513, A_REGISTERED=0.01094391244870041, W_Nabellen incomplete dossiers=0.008207934336525308, O_SENT_BACK=0.006839945280437756, O_CREATED=0.005471956224350205, W_Wijzigen contractgegevens=0.0027359781121751026, O_ACCEPTED=0.0027359781121751026, A_ACCEPTED=0.0027359781121751026};NONALIGNING_ALL;{}
