delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.9;0.01;0.1;560;1029;44;11;-1.0;{Add penalty+complete=0.8571428571428571, Send Appeal to Prefecture+complete=0.07142857142857142, Payment+complete=0.03571428571428571, Insert Date Appeal to Prefecture+complete=0.03571428571428571};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;10;127;21;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;11;127;21;1;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;389;368;33;4;-1.0;{Add penalty+complete=0.8571428571428571, Insert Fine Notification+complete=0.14285714285714285};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;491;497;38;3;-1.0;{Add penalty+complete=0.8461538461538461, Payment+complete=0.15384615384615385};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;12;127;29;1;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;632;337;36;2;-1.0;{Add penalty+complete=0.8947368421052632, Notify Result Appeal to Offender+complete=0.05263157894736842, Receive Result Appeal from Prefecture+complete=0.05263157894736842};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;14;127;29;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;10;127;26;6;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;590;609;39;4;-1.0;{Add penalty+complete=0.8823529411764706, Payment+complete=0.058823529411764705, Appeal to Judge+complete=0.058823529411764705};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;71;230;34;6;-1.0;{Add penalty+complete=0.7, Send Appeal to Prefecture+complete=0.2, Insert Date Appeal to Prefecture+complete=0.1};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;7;73;17;0;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;7;73;21;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;8;73;19;0;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;50;73;28;5;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;9;73;25;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;52;73;24;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;10;73;25;1;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;9;73;24;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;476;268;33;3;-1.0;{Add penalty+complete=0.875, Receive Result Appeal from Prefecture+complete=0.125};NONALIGNING_ALL;{}
0.05;0.95;0.01;0.1;8;73;24;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;52;52;18;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;6;52;18;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;7;52;20;1;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;60;52;24;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;9;52;25;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;6;52;18;0;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;10;52;24;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;6;52;22;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;8;52;22;2;-1.0;{};NONALIGNING_ALL;{}
0.05;0.9;0.01;0.1;7;52;21;3;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;7;60;18;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;6;60;24;6;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;7;60;18;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;8;60;23;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;10;60;27;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;7;60;22;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;50;60;25;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;8;60;23;3;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;9;60;23;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.01;0.1;7;60;21;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;18;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;5;35;21;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;21;3;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;50;35;20;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;8;35;23;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;19;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;20;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;21;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;20;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.95;0.01;0.1;6;35;19;3;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;5;25;13;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;5;25;16;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;5;25;20;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;47;25;16;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;7;25;20;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;5;25;17;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;6;25;19;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;6;25;18;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;5;25;15;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.9;0.01;0.1;5;25;18;2;-1.0;{};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;344;1474;55;11;-1.0;{Add penalty+complete=0.7846153846153846, Payment+complete=0.07692307692307693, Insert Fine Notification+complete=0.046153846153846156, Insert Date Appeal to Prefecture+complete=0.03076923076923077, Receive Result Appeal from Prefecture+complete=0.03076923076923077, Send for Credit Collection+complete=0.015384615384615385, Notify Result Appeal to Offender+complete=0.015384615384615385};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;406;1545;57;8;-1.0;{Add penalty+complete=0.8653846153846154, Insert Fine Notification+complete=0.07692307692307693, Payment+complete=0.038461538461538464, Notify Result Appeal to Offender+complete=0.019230769230769232};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;448;1431;53;9;-1.0;{Add penalty+complete=0.8679245283018868, Payment+complete=0.03773584905660377, Insert Fine Notification+complete=0.03773584905660377, Send Appeal to Prefecture+complete=0.03773584905660377, Insert Date Appeal to Prefecture+complete=0.018867924528301886};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;483;1350;56;5;-1.0;{Add penalty+complete=0.8524590163934426, Send Appeal to Prefecture+complete=0.08196721311475409, Payment+complete=0.03278688524590164, Insert Date Appeal to Prefecture+complete=0.01639344262295082, Insert Fine Notification+complete=0.01639344262295082};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;92;798;56;4;-1.0;{Add penalty+complete=0.9666666666666667, Insert Fine Notification+complete=0.03333333333333333};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;283;849;53;5;-1.0;{Add penalty+complete=0.8928571428571429, Payment+complete=0.03571428571428571, Notify Result Appeal to Offender+complete=0.03571428571428571, Receive Result Appeal from Prefecture+complete=0.03571428571428571};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;461;1872;65;10;-1.0;{Add penalty+complete=0.7910447761194029, Payment+complete=0.05970149253731343, Send Appeal to Prefecture+complete=0.05970149253731343, Insert Date Appeal to Prefecture+complete=0.04477611940298507, Insert Fine Notification+complete=0.014925373134328358, Notify Result Appeal to Offender=0.014925373134328358, Receive Result Appeal from Prefecture+complete=0.014925373134328358};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;383;1695;64;16;-1.0;{Add penalty+complete=0.7868852459016393, Appeal to Judge=0.09836065573770492, Insert Fine Notification+complete=0.04918032786885246, Send Appeal to Prefecture+complete=0.03278688524590164, Payment+complete=0.01639344262295082, Insert Date Appeal to Prefecture+complete=0.01639344262295082};NONALIGNING_ALL;{}
