delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.9;0.01;0.1;1988;275;153;14;27;-1.0;{A_CANCELLED=0.025787965616045846, A_DECLINED=0.10315186246418338, A_FINALIZED=0.1174785100286533, O_DECLINED=0.045845272206303724, W_Nabellen offertes=0.12893982808022922, W_Wijzigen contractgegevens=0.008595988538681949, O_SELECTED=0.2492836676217765, O_SENT_BACK=0.0028653295128939827, W_Valideren aanvraag=0.0057306590257879654, O_ACCEPTED=0.0057306590257879654, O_CANCELLED=0.017191977077363897, W_Completeren aanvraag=0.11174785100286533, O_SENT=0.1318051575931232, A_PREACCEPTED=0.025787965616045846, W_Beoordelen fraude=0.008595988538681949, A_ACCEPTED=0.0057306590257879654, O_CREATED=0.0057306590257879654};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2448;275;145;9;25;-1.0;{A_CANCELLED=0.022922636103151862, A_DECLINED=0.10315186246418338, A_APPROVED=0.0057306590257879654, A_FINALIZED=0.12320916905444126, O_DECLINED=0.04871060171919771, A_REGISTERED=0.0057306590257879654, W_Nabellen offertes=0.1318051575931232, O_SELECTED=0.2521489971346705, O_SENT_BACK=0.0057306590257879654, O_ACCEPTED=0.0057306590257879654, O_CANCELLED=0.011461318051575931, W_Afhandelen leads=0.0057306590257879654, W_Completeren aanvraag=0.1174785100286533, O_SENT=0.12320916905444126, A_PREACCEPTED=0.03151862464183381, A_ACCEPTED=0.0057306590257879654};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2278;276;132;5;23;-1.0;{A_CANCELLED=0.02422145328719723, A_DECLINED=0.10034602076124567, A_FINALIZED=0.12110726643598616, O_DECLINED=0.04844290657439446, W_Nabellen offertes=0.12110726643598616, O_SELECTED=0.27335640138408307, O_SENT_BACK=0.006920415224913495, O_CANCELLED=0.020761245674740483, W_Completeren aanvraag=0.10034602076124567, O_SENT=0.1453287197231834, A_PREACCEPTED=0.02768166089965398, A_ACCEPTED=0.0034602076124567475, O_CREATED=0.006920415224913495};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2622;275;141;7;14;-1.0;{A_CANCELLED=0.051470588235294115, A_DECLINED=0.1213235294117647, A_FINALIZED=0.10661764705882353, O_DECLINED=0.06985294117647059, W_Nabellen offertes=0.11764705882352941, W_Wijzigen contractgegevens=0.011029411764705883, O_SELECTED=0.2536764705882353, O_SENT_BACK=0.003676470588235294, O_CANCELLED=0.029411764705882353, W_Completeren aanvraag=0.06985294117647059, O_SENT=0.14705882352941177, A_PREACCEPTED=0.014705882352941176, O_CREATED=0.003676470588235294};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;1852;274;126;4;24;-1.0;{A_CANCELLED=0.04564315352697095, O_SELECTED=0.24896265560165975, A_DECLINED=0.0912863070539419, O_CANCELLED=0.008298755186721992, W_Completeren aanvraag=0.0954356846473029, O_SENT=0.12033195020746888, A_FINALIZED=0.13692946058091288, A_PREACCEPTED=0.029045643153526972, W_Beoordelen fraude=0.04149377593360996, O_DECLINED=0.04149377593360996, W_Nabellen offertes=0.13692946058091288, W_Wijzigen contractgegevens=0.004149377593360996};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;1906;276;148;7;33;-1.0;{A_CANCELLED=0.02631578947368421, O_SELECTED=0.2565789473684211, A_DECLINED=0.10855263157894737, O_SENT_BACK=0.009868421052631578, O_CANCELLED=0.023026315789473683, W_Completeren aanvraag=0.08552631578947369, O_SENT=0.13157894736842105, A_FINALIZED=0.125, A_PREACCEPTED=0.023026315789473683, W_Beoordelen fraude=0.009868421052631578, O_DECLINED=0.0625, W_Nabellen offertes=0.13815789473684212};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2002;275;142;9;28;-1.0;{A_CANCELLED=0.044585987261146494, O_SELECTED=0.2515923566878981, A_DECLINED=0.11146496815286625, O_SENT_BACK=0.006369426751592357, O_CANCELLED=0.009554140127388535, W_Completeren aanvraag=0.10828025477707007, O_SENT=0.1178343949044586, A_FINALIZED=0.12738853503184713, A_PREACCEPTED=0.025477707006369428, A_ACCEPTED=0.0031847133757961785, O_DECLINED=0.054140127388535034, W_Nabellen offertes=0.14012738853503184};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2275;277;154;11;30;-1.0;{A_CANCELLED=0.04814814814814815, A_DECLINED=0.13333333333333333, A_FINALIZED=0.16296296296296298, O_DECLINED=0.07037037037037037, W_Nabellen offertes=0.15555555555555556, O_SELECTED=0.2518518518518518, O_SENT_BACK=0.007407407407407408, O_CANCELLED=0.011111111111111112, W_Afhandelen leads=0.007407407407407408, W_Completeren aanvraag=0.025925925925925925, O_SENT=0.1111111111111111, A_PREACCEPTED=0.003703703703703704, A_ACCEPTED=0.003703703703703704, O_CREATED=0.007407407407407408};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2424;277;151;18;27;-1.0;{A_CANCELLED=0.045317220543806644, A_DECLINED=0.06948640483383686, A_FINALIZED=0.1268882175226586, O_DECLINED=0.03625377643504532, W_Nabellen offertes=0.1419939577039275, O_SELECTED=0.2084592145015106, O_SENT_BACK=0.00906344410876133, W_Valideren aanvraag=0.006042296072507553, O_CANCELLED=0.012084592145015106, W_Afhandelen leads=0.006042296072507553, W_Completeren aanvraag=0.1903323262839879, O_SENT=0.08761329305135952, A_PREACCEPTED=0.04833836858006042, W_Beoordelen fraude=0.00906344410876133, A_ACCEPTED=0.0030211480362537764};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2497;274;147;8;31;-1.0;{A_CANCELLED=0.028169014084507043, A_DECLINED=0.08732394366197183, A_FINALIZED=0.1295774647887324, O_DECLINED=0.030985915492957747, W_Nabellen offertes=0.1267605633802817, W_Wijzigen contractgegevens=0.0028169014084507044, O_SELECTED=0.2619718309859155, O_SENT_BACK=0.0028169014084507044, O_CANCELLED=0.011267605633802818, W_Afhandelen leads=0.008450704225352112, W_Completeren aanvraag=0.10140845070422536, O_SENT=0.13802816901408452, A_PREACCEPTED=0.022535211267605635, A_ACCEPTED=0.0028169014084507044, W_Beoordelen fraude=0.04507042253521127};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;910;134;81;0;16;-1.0;{A_CANCELLED=0.007142857142857143, O_SELECTED=0.2857142857142857, A_DECLINED=0.09285714285714286, O_CANCELLED=0.007142857142857143, W_Completeren aanvraag=0.08571428571428572, O_SENT=0.17857142857142858, A_FINALIZED=0.10714285714285714, A_PREACCEPTED=0.02857142857142857, W_Beoordelen fraude=0.02142857142857143, O_DECLINED=0.05714285714285714, W_Nabellen offertes=0.10714285714285714, W_Wijzigen contractgegevens=0.02142857142857143};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;1052;134;73;0;13;-1.0;{O_SELECTED=0.25, A_CANCELLED=0.023255813953488372, A_DECLINED=0.09883720930232558, W_Completeren aanvraag=0.1569767441860465, O_SENT=0.11627906976744186, A_FINALIZED=0.13372093023255813, A_PREACCEPTED=0.05232558139534884, O_DECLINED=0.03488372093023256, W_Nabellen offertes=0.13372093023255813};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;1118;134;69;0;8;-1.0;{O_SELECTED=0.25547445255474455, A_CANCELLED=0.021897810218978103, A_DECLINED=0.10218978102189781, O_CANCELLED=0.014598540145985401, W_Completeren aanvraag=0.13138686131386862, O_SENT=0.11678832116788321, A_FINALIZED=0.1386861313868613, A_PREACCEPTED=0.043795620437956206, O_DECLINED=0.029197080291970802, W_Nabellen offertes=0.1386861313868613, O_CREATED=0.0072992700729927005};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;1264;133;81;0;7;-1.0;{A_CANCELLED=0.06504065040650407, O_SELECTED=0.25203252032520324, A_DECLINED=0.13008130081300814, O_CANCELLED=0.032520325203252036, W_Completeren aanvraag=0.04878048780487805, O_SENT=0.15447154471544716, A_FINALIZED=0.0975609756097561, A_PREACCEPTED=0.016260162601626018, O_DECLINED=0.10569105691056911, W_Nabellen offertes=0.0975609756097561};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;832;133;65;0;4;-1.0;{A_CANCELLED=0.02608695652173913, O_SELECTED=0.21739130434782608, A_DECLINED=0.06956521739130435, O_CANCELLED=0.008695652173913044, W_Completeren aanvraag=0.1565217391304348, O_SENT=0.10434782608695652, A_FINALIZED=0.11304347826086956, A_PREACCEPTED=0.05217391304347826, W_Beoordelen fraude=0.08695652173913043, O_DECLINED=0.043478260869565216, W_Nabellen offertes=0.11304347826086956, W_Wijzigen contractgegevens=0.008695652173913044};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;745;134;79;0;16;-1.0;{O_SELECTED=0.25735294117647056, A_CANCELLED=0.029411764705882353, A_DECLINED=0.125, O_CANCELLED=0.007352941176470588, W_Completeren aanvraag=0.0661764705882353, O_SENT=0.08823529411764706, A_PREACCEPTED=0.022058823529411766, A_FINALIZED=0.16911764705882354, O_DECLINED=0.0661764705882353, W_Nabellen offertes=0.16911764705882354};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;878;133;73;0;11;-1.0;{O_SELECTED=0.2706766917293233, A_CANCELLED=0.03007518796992481, A_DECLINED=0.12781954887218044, O_SENT_BACK=0.007518796992481203, O_CANCELLED=0.015037593984962405, W_Completeren aanvraag=0.06766917293233082, O_SENT=0.15789473684210525, A_FINALIZED=0.11278195488721804, A_PREACCEPTED=0.022556390977443608, O_DECLINED=0.07518796992481203, W_Nabellen offertes=0.11278195488721804};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;928;134;80;0;13;-1.0;{O_SELECTED=0.2743362831858407, A_CANCELLED=0.017699115044247787, A_DECLINED=0.1592920353982301, O_CANCELLED=0.017699115044247787, O_SENT=0.10619469026548672, A_FINALIZED=0.168141592920354, O_DECLINED=0.08849557522123894, W_Nabellen offertes=0.168141592920354};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;1266;134;83;1;16;-1.0;{O_SELECTED=0.22448979591836735, A_CANCELLED=0.034013605442176874, A_DECLINED=0.07482993197278912, O_CANCELLED=0.013605442176870748, W_Completeren aanvraag=0.17006802721088435, O_SENT=0.08163265306122448, A_FINALIZED=0.14285714285714285, A_PREACCEPTED=0.05442176870748299, W_Beoordelen fraude=0.02040816326530612, O_DECLINED=0.04081632653061224, W_Nabellen offertes=0.14285714285714285};NONALIGNING_ALL;{}
