delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.3;11153;660;309;147;-1.0;{W_Nabellen offertes=0.18614210217263652, W_Completeren aanvraag=0.1462125660598943, O_SELECTED=0.14386376981796828, A_FINALIZED=0.07516147974163241, A_DECLINED=0.06694069289489137, O_SENT=0.06341749853200235, W_Valideren aanvraag=0.037580739870816206, A_CANCELLED=0.03288314738696418, W_Nabellen incomplete dossiers=0.03288314738696418, W_Afhandelen leads=0.03229594832648268, O_DECLINED=0.028185554903112156, O_CANCELLED=0.028185554903112156, A_REGISTERED=0.022313564298297124, O_ACCEPTED=0.017615971814445096, O_CREATED=0.01644157369348209, A_ACTIVATED=0.014092777451556078, A_ACCEPTED=0.014092777451556078, A_APPROVED=0.012918379330593071, A_PREACCEPTED=0.012918379330593071, W_Beoordelen fraude=0.011743981209630064, O_SENT_BACK=0.002348796241926013, W_Wijzigen contractgegevens=0.0017615971814445098};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;10682;664;314;163;-1.0;{W_Nabellen offertes=0.16606868272680678, O_SELECTED=0.1389031266017427, W_Completeren aanvraag=0.13070220399794977, W_Valideren aanvraag=0.07790876473603281, A_FINALIZED=0.06253203485392107, A_DECLINED=0.0584315735520246, W_Afhandelen leads=0.056381342901076374, W_Nabellen incomplete dossiers=0.05586878523833931, O_SENT=0.04664274730907227, A_CANCELLED=0.033828805740645826, O_DECLINED=0.03177857508969759, O_CANCELLED=0.027678113787801127, A_APPROVED=0.022039979497693492, O_ACCEPTED=0.016914402870322913, A_REGISTERED=0.015889287544848796, A_ACTIVATED=0.01486417221937468, A_PREACCEPTED=0.01230138390568939, O_CREATED=0.011788826242952332, O_SENT_BACK=0.006150691952844695, W_Beoordelen fraude=0.006150691952844695, A_ACCEPTED=0.005638134290107637, W_Wijzigen contractgegevens=0.0015376729882111738};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;13106;665;313;145;-1.0;{W_Completeren aanvraag=0.17173524150268335, W_Nabellen offertes=0.16219439475253428, O_SELECTED=0.1526535480023852, O_SENT=0.06678592725104353, A_FINALIZED=0.06440071556350627, A_DECLINED=0.057841383422778773, A_CANCELLED=0.042337507453786526, O_CANCELLED=0.03935599284436494, W_Valideren aanvraag=0.03875968992248062, W_Nabellen incomplete dossiers=0.03398926654740608, W_Afhandelen leads=0.033392963625521764, O_DECLINED=0.022063208109719738, A_APPROVED=0.020870602265951103, A_REGISTERED=0.020870602265951103, O_CREATED=0.01908169350029815, A_ACTIVATED=0.013714967203339297, A_PREACCEPTED=0.013714967203339297, O_ACCEPTED=0.012522361359570662, O_SENT_BACK=0.005366726296958855, A_ACCEPTED=0.0041741204531902205, W_Beoordelen fraude=0.0041741204531902205};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;12873;659;324;161;-1.0;{W_Nabellen offertes=0.16453585325180656, O_SELECTED=0.14508060033351863, W_Completeren aanvraag=0.13674263479710952, A_DECLINED=0.07003891050583658, A_FINALIZED=0.06837131739855476, W_Afhandelen leads=0.06281267370761534, O_SENT=0.06003335186214564, W_Valideren aanvraag=0.05947748749305169, O_CANCELLED=0.042801556420233464, A_CANCELLED=0.0311284046692607, W_Nabellen incomplete dossiers=0.030572540300166758, O_DECLINED=0.027237354085603113, A_APPROVED=0.018343524180100056, O_CREATED=0.018343524180100056, A_REGISTERED=0.01500833796553641, O_ACCEPTED=0.01500833796553641, A_PREACCEPTED=0.008893829905503057, A_ACTIVATED=0.008337965536409116, O_SENT_BACK=0.008337965536409116, A_ACCEPTED=0.006114508060033352, W_Wijzigen contractgegevens=0.0016675931072818232, W_Beoordelen fraude=0.0011117287381878821};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;8825;661;303;143;-1.0;{W_Nabellen offertes=0.16337522441651706, W_Completeren aanvraag=0.15200478755236385, O_SELECTED=0.13644524236983843, A_FINALIZED=0.07660083782166367, O_SENT=0.06223818073010173, W_Valideren aanvraag=0.061639736684619986, W_Afhandelen leads=0.04608019150209455, A_DECLINED=0.045481747456612806, W_Nabellen incomplete dossiers=0.04488330341113106, O_CANCELLED=0.0353081986834231, A_CANCELLED=0.026331538001196888, O_CREATED=0.02333931777378815, A_ACTIVATED=0.020945541591861162, A_REGISTERED=0.019748653500897665, O_DECLINED=0.019150209455415918, A_APPROVED=0.017354877318970677, O_ACCEPTED=0.017354877318970677, A_PREACCEPTED=0.010771992818671455, W_Beoordelen fraude=0.010771992818671455, O_SENT_BACK=0.005385996409335727, A_ACCEPTED=0.002992220227408737, W_Wijzigen contractgegevens=0.0017953321364452424};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;9634;660;316;146;-1.0;{W_Nabellen offertes=0.15995462280204198, O_SELECTED=0.14804310833806011, W_Completeren aanvraag=0.13896766874645491, A_FINALIZED=0.07317073170731707, O_SENT=0.061259217243335225, W_Valideren aanvraag=0.05899035734543392, W_Afhandelen leads=0.057855927396483264, A_DECLINED=0.052750992626205334, W_Nabellen incomplete dossiers=0.05104934770277935, O_CANCELLED=0.03516732841747022, A_CANCELLED=0.030629608621667612, O_DECLINED=0.027226318774815655, A_APPROVED=0.02041973908111174, A_REGISTERED=0.01474758933635848, O_ACCEPTED=0.01474758933635848, A_ACTIVATED=0.012478729438457176, O_CREATED=0.011344299489506523, A_PREACCEPTED=0.010777084515031198, W_Beoordelen fraude=0.010777084515031198, O_SENT_BACK=0.00737379466817924, W_Wijzigen contractgegevens=0.0011344299489506524, A_ACCEPTED=0.0011344299489506524};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;7633;656;300;142;-1.0;{W_Completeren aanvraag=0.1735895846249225, W_Nabellen offertes=0.15437073775573465, O_SELECTED=0.138871667699938, A_FINALIZED=0.08927464352138871, A_DECLINED=0.06323620582765034, W_Valideren aanvraag=0.06075635461872288, O_SENT=0.05765654060756355, W_Afhandelen leads=0.04959702417854929, A_CANCELLED=0.04091754494730316, W_Nabellen incomplete dossiers=0.03595784252944823, O_DECLINED=0.03347799132052077, O_CANCELLED=0.032238065716057036, O_ACCEPTED=0.013019218846869188, O_CREATED=0.011159330440173589, A_APPROVED=0.010539367637941723, A_ACTIVATED=0.010539367637941723, A_PREACCEPTED=0.009919404835709857, A_REGISTERED=0.006819590824550527, O_SENT_BACK=0.0049597024178549285, A_ACCEPTED=0.0030998140111593306};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;9163;661;330;145;-1.0;{W_Nabellen offertes=0.1677295918367347, O_SELECTED=0.15051020408163265, W_Completeren aanvraag=0.11734693877551021, A_FINALIZED=0.08354591836734694, A_DECLINED=0.0778061224489796, W_Valideren aanvraag=0.06951530612244898, O_SENT=0.05994897959183673, O_DECLINED=0.04017857142857143, A_CANCELLED=0.032525510204081634, W_Afhandelen leads=0.03188775510204082, O_CANCELLED=0.02806122448979592, W_Nabellen incomplete dossiers=0.025510204081632654, A_ACTIVATED=0.02423469387755102, O_ACCEPTED=0.02040816326530612, A_APPROVED=0.017857142857142856, A_REGISTERED=0.017857142857142856, O_CREATED=0.01211734693877551, W_Beoordelen fraude=0.00701530612244898, A_PREACCEPTED=0.006377551020408163, A_ACCEPTED=0.006377551020408163, O_SENT_BACK=0.0031887755102040817};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;14534;664;324;157;-1.0;{W_Nabellen offertes=0.182095006090134, W_Completeren aanvraag=0.17722289890377588, O_SELECTED=0.1559074299634592, A_FINALIZED=0.07369062119366626, O_SENT=0.05907429963459196, A_CANCELLED=0.04689403166869671, W_Afhandelen leads=0.04263093788063337, A_DECLINED=0.04202192448233861, W_Valideren aanvraag=0.03714981729598051, O_CANCELLED=0.031668696711327646, A_APPROVED=0.023751522533495738, W_Nabellen incomplete dossiers=0.023751522533495738, O_DECLINED=0.018270401948842874, O_ACCEPTED=0.016443361753958587, A_PREACCEPTED=0.016443361753958587, O_CREATED=0.015225334957369063, A_ACTIVATED=0.012789281364190013, A_REGISTERED=0.011571254567600487, O_SENT_BACK=0.0048721071863581, W_Beoordelen fraude=0.004263093788063338, A_ACCEPTED=0.0036540803897685747, W_Wijzigen contractgegevens=6.090133982947625E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.3;12142;663;309;149;-1.0;{W_Nabellen offertes=0.18006430868167203, O_SELECTED=0.1564844587352626, W_Completeren aanvraag=0.12165058949624866, O_SENT=0.0707395498392283, A_FINALIZED=0.06645230439442658, W_Valideren aanvraag=0.05466237942122187, A_DECLINED=0.05251875669882101, W_Afhandelen leads=0.05091103965702037, W_Nabellen incomplete dossiers=0.04555198285101822, O_CANCELLED=0.03161843515541265, A_CANCELLED=0.02947481243301179, O_DECLINED=0.027331189710610933, A_ACTIVATED=0.01982851018220793, O_ACCEPTED=0.017684887459807074, A_APPROVED=0.016613076098606645, O_CREATED=0.01607717041800643, A_REGISTERED=0.01232583065380493, A_PREACCEPTED=0.00964630225080386, O_SENT_BACK=0.00857449088960343, W_Beoordelen fraude=0.00857449088960343, A_ACCEPTED=0.0021436227224008574, W_Wijzigen contractgegevens=0.0010718113612004287};NONALIGNING_ALL;{}
