delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.1;0.99;0.01;0.1;390;83;84;0;0;0.8070887917895065;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;153;70;67;0;0;0.8735829358813229;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;526;70;69;0;0;0.8099941610500395;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;265;53;51;0;0;0.8260512535257563;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;171;59;57;0;0;0.821344807981637;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;734;98;91;0;0;0.8363241151502242;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;218;58;58;0;0;0.8549819265701619;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;200;58;55;0;0;0.842221677960842;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;444;67;68;0;0;0.8378841662104376;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;285;65;66;0;0;0.8449564846034181;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;138;58;59;0;0;0.8125128915654716;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;99;59;56;0;0;0.8789347596847595;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;299;60;60;0;0;0.8293553421642093;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;173;50;48;0;0;0.8403516650791558;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;127;49;48;0;0;0.8218764267133836;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;205;55;53;0;0;0.8770384913376152;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;151;48;48;0;0;0.8540633916736858;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;163;49;47;0;0;0.8309501743741295;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;492;63;63;0;0;0.8312916507360952;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;265;59;60;0;0;0.8448094958657698;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;109;50;49;0;0;0.8276341315273696;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;11036;670;588;0;0;0.8092310968270017;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;12243;666;613;0;0;0.8220773281789477;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;12255;666;599;0;0;0.8205179331182073;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;7961;667;587;0;0;0.8209492062363838;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;14681;667;594;0;0;0.8184022496195948;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;8772;668;601;0;0;0.8121265641314551;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;13962;667;617;0;0;0.8135891949216679;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;10199;666;604;0;0;0.8180724884820485;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;14804;665;593;0;0;0.8114376592463726;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;11703;669;606;0;0;0.811386911051238;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;13546;664;586;0;0;0.8087580747628408;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;19080;668;614;0;0;0.8222963217002276;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;15300;666;600;0;0;0.8204128283090051;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;6861;664;587;0;0;0.8205941836267494;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;13546;666;592;0;0;0.8180423811735612;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;9089;667;602;0;0;0.8129381587343967;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;16011;666;615;0;0;0.8135423976197695;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;14167;666;604;0;0;0.8178388568654374;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;12233;666;590;0;0;0.8113594755400471;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.1;0.1;9802;666;602;0;0;0.8116897299150327;{};NONALIGNING_KNOWN;{}
