delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.9;0.01;0.1;3121;827;54;8;-1.0;{Payment+complete=0.35714285714285715, Insert Date Appeal to Prefecture+complete=0.25, Send Appeal to Prefecture+complete=0.25, Notify Result Appeal to Offender+complete=0.047619047619047616, Receive Result Appeal from Prefecture+complete=0.047619047619047616, Add penalty+complete=0.023809523809523808, Send Fine+complete=0.011904761904761904, Insert Fine Notification+complete=0.005952380952380952, Appeal to Judge+complete=0.005952380952380952};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2212;1080;48;8;-1.0;{Payment+complete=0.5232558139534884, Insert Date Appeal to Prefecture+complete=0.19767441860465115, Send Appeal to Prefecture+complete=0.19767441860465115, Appeal to Judge+complete=0.029069767441860465, Send Fine+complete=0.029069767441860465, Add penalty+complete=0.005813953488372093, Insert Fine Notification+complete=0.005813953488372093, Notify Result Appeal to Offender+complete=0.005813953488372093, Receive Result Appeal from Prefecture+complete=0.005813953488372093};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2186;943;47;2;-1.0;{Payment+complete=0.5, Insert Date Appeal to Prefecture+complete=0.19375, Send Appeal to Prefecture+complete=0.1875, Appeal to Judge+complete=0.05, Receive Result Appeal from Prefecture+complete=0.0375, Notify Result Appeal to Offender+complete=0.025, Send Fine+complete=0.00625};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;1999;1380;50;8;-1.0;{Payment+complete=0.5632183908045977, Insert Date Appeal to Prefecture+complete=0.1724137931034483, Send Appeal to Prefecture+complete=0.1724137931034483, Receive Result Appeal from Prefecture+complete=0.028735632183908046, Appeal to Judge+complete=0.022988505747126436, Send Fine+complete=0.022988505747126436, Notify Result Appeal to Offender+complete=0.017241379310344827};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2055;1009;42;9;-1.0;{Payment+complete=0.5666666666666667, Insert Date Appeal to Prefecture+complete=0.17333333333333334, Send Appeal to Prefecture+complete=0.16666666666666666, Notify Result Appeal to Offender+complete=0.02, Receive Result Appeal from Prefecture+complete=0.02, Send Fine+complete=0.02, Add penalty+complete=0.013333333333333334, Appeal to Judge+complete=0.013333333333333334, Insert Fine Notification+complete=0.006666666666666667};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;3090;1234;48;5;-1.0;{Payment+complete=0.4276315789473684, Insert Date Appeal to Prefecture+complete=0.20394736842105263, Send Appeal to Prefecture+complete=0.20394736842105263, Send Fine+complete=0.05263157894736842, Add penalty+complete=0.039473684210526314, Notify Result Appeal to Offender+complete=0.02631578947368421, Receive Result Appeal from Prefecture+complete=0.02631578947368421, Appeal to Judge+complete=0.013157894736842105, Insert Fine Notification+complete=0.006578947368421052};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2565;1048;46;11;-1.0;{Payment+complete=0.46774193548387094, Insert Date Appeal to Prefecture+complete=0.1935483870967742, Send Appeal to Prefecture+complete=0.1881720430107527, Send Fine+complete=0.043010752688172046, Notify Result Appeal to Offender+complete=0.03225806451612903, Receive Result Appeal from Prefecture+complete=0.03225806451612903, Insert Fine Notification+complete=0.016129032258064516, Appeal to Judge+complete=0.016129032258064516, Add penalty+complete=0.010752688172043012};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;121;128;22;1;-1.0;{Payment+complete=0.26666666666666666, Insert Date Appeal to Prefecture+complete=0.26666666666666666, Send Appeal to Prefecture+complete=0.26666666666666666, Appeal to Judge+complete=0.13333333333333333, Add penalty+complete=0.06666666666666667};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;471;296;25;9;-1.0;{Payment+complete=0.9072164948453608, Insert Date Appeal to Prefecture+complete=0.041237113402061855, Send Appeal to Prefecture+complete=0.041237113402061855, Send Fine+complete=0.010309278350515464};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;3017;622;38;4;-1.0;{Payment+complete=0.39603960396039606, Insert Date Appeal to Prefecture+complete=0.2079207920792079, Send Appeal to Prefecture+complete=0.2079207920792079, Notify Result Appeal to Offender+complete=0.0594059405940594, Receive Result Appeal from Prefecture+complete=0.0594059405940594, Appeal to Judge+complete=0.0297029702970297, Add penalty+complete=0.019801980198019802, Send Fine+complete=0.019801980198019802};NONALIGNING_ALL;{}
